RegionID,Region,Year,Series,Value
8,Albania,2020,Plants,5.0
8,Albania,2021,Plants,5.0
8,Albania,2022,Plants,5.0
8,Albania,2004,Total,37.0
8,Albania,2010,Total,100.0
8,Albania,2015,Total,112.0
8,Albania,2019,Total,137.0
8,Albania,2020,Total,142.0
8,Albania,2021,Total,147.0
8,Albania,2022,Total,156.0
12,Algeria,2004,Vertebrates,36.0
12,Algeria,2010,Vertebrates,69.0
12,Algeria,2015,Vertebrates,71.0
12,Algeria,2019,Vertebrates,81.0
12,Algeria,2020,Vertebrates,85.0
12,Algeria,2021,Vertebrates,96.0
12,Algeria,2022,Vertebrates,105.0
12,Algeria,2004,Invertebrates,12.0
12,Algeria,2010,Invertebrates,21.0
12,Algeria,2015,Invertebrates,26.0
12,Algeria,2019,Invertebrates,40.0
12,Algeria,2020,Invertebrates,42.0
12,Algeria,2021,Invertebrates,42.0
12,Algeria,2022,Invertebrates,42.0
12,Algeria,2004,Plants,2.0
12,Algeria,2010,Plants,15.0
12,Algeria,2015,Plants,17.0
12,Algeria,2019,Plants,24.0
12,Algeria,2020,Plants,28.0
12,Algeria,2021,Plants,32.0
12,Algeria,2022,Plants,33.0
12,Algeria,2004,Total,50.0
12,Algeria,2010,Total,105.0
12,Algeria,2015,Total,114.0
12,Algeria,2019,Total,145.0
12,Algeria,2020,Total,155.0
12,Algeria,2021,Total,170.0
12,Algeria,2022,Total,180.0
16,American Samoa,2004,Vertebrates,18.0
16,American Samoa,2010,Vertebrates,21.0
16,American Samoa,2015,Vertebrates,25.0
16,American Samoa,2019,Vertebrates,29.0
16,American Samoa,2020,Vertebrates,32.0
16,American Samoa,2021,Vertebrates,34.0
16,American Samoa,2022,Vertebrates,37.0
16,American Samoa,2004,Invertebrates,5.0
16,American Samoa,2010,Invertebrates,57.0
16,American Samoa,2015,Invertebrates,64.0
16,American Samoa,2019,Invertebrates,65.0
16,American Samoa,2020,Invertebrates,65.0
16,American Samoa,2021,Invertebrates,66.0
16,American Samoa,2022,Invertebrates,66.0
16,American Samoa,2004,Plants,1.0
16,American Samoa,2010,Plants,1.0
16,American Samoa,2015,Plants,1.0
16,American Samoa,2019,Plants,1.0
16,American Samoa,2020,Plants,2.0
16,American Samoa,2021,Plants,2.0
16,American Samoa,2022,Plants,2.0
16,American Samoa,2004,Total,24.0
16,American Samoa,2010,Total,79.0
16,American Samoa,2015,Total,90.0
16,American Samoa,2019,Total,95.0
16,American Samoa,2020,Total,99.0
16,American Samoa,2021,Total,102.0
16,American Samoa,2022,Total,105.0
20,Andorra,2004,Vertebrates,1.0
20,Andorra,2010,Vertebrates,4.0
20,Andorra,2015,Vertebrates,4.0
20,Andorra,2019,Vertebrates,6.0
20,Andorra,2020,Vertebrates,6.0
20,Andorra,2021,Vertebrates,6.0
20,Andorra,2022,Vertebrates,6.0
20,Andorra,2004,Invertebrates,4.0
20,Andorra,2010,Invertebrates,4.0
20,Andorra,2015,Invertebrates,7.0
20,Andorra,2019,Invertebrates,8.0
20,Andorra,2020,Invertebrates,8.0
20,Andorra,2021,Invertebrates,7.0
20,Andorra,2022,Invertebrates,8.0
20,Andorra,2004,Plants,0.0
20,Andorra,2010,Plants,0.0
20,Andorra,2015,Plants,0.0
20,Andorra,2019,Plants,1.0
20,Andorra,2020,Plants,1.0
20,Andorra,2021,Plants,1.0
20,Andorra,2022,Plants,1.0
20,Andorra,2004,Total,5.0
20,Andorra,2010,Total,8.0
20,Andorra,2015,Total,11.0
20,Andorra,2019,Total,15.0
20,Andorra,2020,Total,15.0
20,Andorra,2021,Total,14.0
20,Andorra,2022,Total,15.0
24,Angola,2004,Vertebrates,44.0
24,Angola,2010,Vertebrates,77.0
24,Angola,2015,Vertebrates,87.0
24,Angola,2019,Vertebrates,111.0
24,Angola,2020,Vertebrates,117.0
24,Angola,2021,Vertebrates,134.0
24,Angola,2022,Vertebrates,150.0
24,Angola,2004,Invertebrates,6.0
24,Angola,2010,Invertebrates,7.0
24,Angola,2015,Invertebrates,9.0
24,Angola,2019,Invertebrates,11.0
24,Angola,2020,Invertebrates,11.0
24,Angola,2021,Invertebrates,11.0
24,Angola,2022,Invertebrates,11.0
24,Angola,2004,Plants,26.0
24,Angola,2010,Plants,33.0
24,Angola,2015,Plants,34.0
24,Angola,2019,Plants,36.0
24,Angola,2020,Plants,43.0
24,Angola,2021,Plants,48.0
24,Angola,2022,Plants,64.0
24,Angola,2004,Total,76.0
24,Angola,2010,Total,117.0
24,Angola,2015,Total,130.0
24,Angola,2019,Total,158.0
24,Angola,2020,Total,171.0
24,Angola,2021,Total,193.0
24,Angola,2022,Total,225.0
660,Anguilla,2004,Vertebrates,15.0
660,Anguilla,2010,Vertebrates,20.0
660,Anguilla,2015,Vertebrates,37.0
660,Anguilla,2019,Vertebrates,43.0
660,Anguilla,2020,Vertebrates,47.0
660,Anguilla,2021,Vertebrates,56.0
660,Anguilla,2022,Vertebrates,58.0
660,Anguilla,2004,Invertebrates,0.0
660,Anguilla,2010,Invertebrates,10.0
660,Anguilla,2015,Invertebrates,10.0
660,Anguilla,2019,Invertebrates,10.0
660,Anguilla,2020,Invertebrates,10.0
660,Anguilla,2021,Invertebrates,10.0
660,Anguilla,2022,Invertebrates,10.0
660,Anguilla,2004,Plants,3.0
660,Anguilla,2010,Plants,3.0
660,Anguilla,2015,Plants,4.0
660,Anguilla,2019,Plants,4.0
660,Anguilla,2020,Plants,3.0
660,Anguilla,2021,Plants,3.0
660,Anguilla,2022,Plants,3.0
660,Anguilla,2004,Total,18.0
660,Anguilla,2010,Total,33.0
660,Anguilla,2015,Total,51.0
660,Anguilla,2019,Total,57.0
660,Anguilla,2020,Total,60.0
660,Anguilla,2021,Total,69.0
660,Anguilla,2022,Total,71.0
10,Antarctica,2004,Vertebrates,8.0
10,Antarctica,2010,Vertebrates,6.0
10,Antarctica,2015,Vertebrates,6.0
10,Antarctica,2019,Vertebrates,6.0
10,Antarctica,2020,Vertebrates,6.0
10,Antarctica,2021,Vertebrates,8.0
10,Antarctica,2022,Vertebrates,8.0
10,Antarctica,2004,Invertebrates,0.0
10,Antarctica,2010,Invertebrates,0.0
10,Antarctica,2015,Invertebrates,0.0
10,Antarctica,2019,Invertebrates,0.0
10,Antarctica,2020,Invertebrates,0.0
10,Antarctica,2021,Invertebrates,0.0
10,Antarctica,2022,Invertebrates,0.0
10,Antarctica,2004,Plants,0.0
10,Antarctica,2010,Plants,0.0
10,Antarctica,2015,Plants,0.0
10,Antarctica,2019,Plants,0.0
10,Antarctica,2020,Plants,0.0
10,Antarctica,2021,Plants,0.0
10,Antarctica,2022,Plants,0.0
10,Antarctica,2004,Total,8.0
10,Antarctica,2010,Total,6.0
10,Antarctica,2015,Total,6.0
10,Antarctica,2019,Total,6.0
10,Antarctica,2020,Total,6.0
10,Antarctica,2021,Total,8.0
10,Antarctica,2022,Total,8.0
28,Antigua and Barbuda,2004,Vertebrates,18.0
28,Antigua and Barbuda,2010,Vertebrates,23.0
28,Antigua and Barbuda,2015,Vertebrates,38.0
28,Antigua and Barbuda,2019,Vertebrates,44.0
28,Antigua and Barbuda,2020,Vertebrates,47.0
28,Antigua and Barbuda,2021,Vertebrates,60.0
28,Antigua and Barbuda,2022,Vertebrates,62.0
28,Antigua and Barbuda,2004,Invertebrates,0.0
28,Antigua and Barbuda,2010,Invertebrates,11.0
28,Antigua and Barbuda,2015,Invertebrates,11.0
28,Antigua and Barbuda,2019,Invertebrates,11.0
28,Antigua and Barbuda,2020,Invertebrates,11.0
28,Antigua and Barbuda,2021,Invertebrates,11.0
28,Antigua and Barbuda,2022,Invertebrates,11.0
28,Antigua and Barbuda,2004,Plants,4.0
28,Antigua and Barbuda,2010,Plants,4.0
28,Antigua and Barbuda,2015,Plants,4.0
28,Antigua and Barbuda,2019,Plants,4.0
28,Antigua and Barbuda,2020,Plants,3.0
28,Antigua and Barbuda,2021,Plants,2.0
28,Antigua and Barbuda,2022,Plants,2.0
28,Antigua and Barbuda,2004,Total,22.0
28,Antigua and Barbuda,2010,Total,38.0
28,Antigua and Barbuda,2015,Total,53.0
28,Antigua and Barbuda,2019,Total,59.0
28,Antigua and Barbuda,2020,Total,61.0
28,Antigua and Barbuda,2021,Total,73.0
28,Antigua and Barbuda,2022,Total,75.0
896,Areas n.e.s,2004,Vertebrates,1.0
896,Areas n.e.s,2010,Vertebrates,1.0
896,Areas n.e.s,2015,Vertebrates,1.0
896,Areas n.e.s,2019,Vertebrates,7.0
896,Areas n.e.s,2004,Invertebrates,0.0
896,Areas n.e.s,2010,Invertebrates,0.0
896,Areas n.e.s,2015,Invertebrates,1.0
896,Areas n.e.s,2019,Invertebrates,1.0
896,Areas n.e.s,2004,Plants,0.0
896,Areas n.e.s,2010,Plants,0.0
896,Areas n.e.s,2015,Plants,0.0
896,Areas n.e.s,2004,Total,1.0
896,Areas n.e.s,2010,Total,1.0
896,Areas n.e.s,2015,Total,2.0
896,Areas n.e.s,2019,Total,8.0
32,Argentina,2004,Vertebrates,134.0
32,Argentina,2010,Vertebrates,157.0
32,Argentina,2015,Vertebrates,160.0
32,Argentina,2019,Vertebrates,190.0
32,Argentina,2020,Vertebrates,194.0
32,Argentina,2021,Vertebrates,210.0
32,Argentina,2022,Vertebrates,212.0
32,Argentina,2004,Invertebrates,10.0
32,Argentina,2010,Invertebrates,12.0
32,Argentina,2015,Invertebrates,13.0
32,Argentina,2019,Invertebrates,14.0
32,Argentina,2020,Invertebrates,15.0
32,Argentina,2021,Invertebrates,19.0
32,Argentina,2022,Invertebrates,19.0
32,Argentina,2004,Plants,42.0
32,Argentina,2010,Plants,44.0
32,Argentina,2015,Plants,70.0
32,Argentina,2019,Plants,75.0
32,Argentina,2020,Plants,76.0
32,Argentina,2021,Plants,91.0
32,Argentina,2022,Plants,90.0
32,Argentina,2004,Total,186.0
32,Argentina,2010,Total,213.0
32,Argentina,2015,Total,243.0
32,Argentina,2019,Total,279.0
32,Argentina,2020,Total,285.0
32,Argentina,2021,Total,320.0
32,Argentina,2022,Total,321.0
51,Armenia,2004,Vertebrates,27.0
51,Armenia,2010,Vertebrates,29.0
51,Armenia,2015,Vertebrates,31.0
51,Armenia,2019,Vertebrates,34.0
51,Armenia,2020,Vertebrates,34.0
51,Armenia,2021,Vertebrates,32.0
51,Armenia,2022,Vertebrates,33.0
51,Armenia,2004,Invertebrates,7.0
51,Armenia,2010,Invertebrates,6.0
51,Armenia,2015,Invertebrates,9.0
51,Armenia,2019,Invertebrates,9.0
51,Armenia,2020,Invertebrates,9.0
51,Armenia,2021,Invertebrates,8.0
51,Armenia,2022,Invertebrates,8.0
51,Armenia,2004,Plants,1.0
51,Armenia,2010,Plants,1.0
51,Armenia,2015,Plants,71.0
51,Armenia,2019,Plants,76.0
51,Armenia,2020,Plants,76.0
51,Armenia,2021,Plants,76.0
51,Armenia,2022,Plants,76.0
51,Armenia,2004,Total,35.0
51,Armenia,2010,Total,36.0
51,Armenia,2015,Total,111.0
51,Armenia,2019,Total,119.0
51,Armenia,2020,Total,119.0
51,Armenia,2021,Total,116.0
51,Armenia,2022,Total,117.0
533,Aruba,2004,Vertebrates,17.0
533,Aruba,2010,Vertebrates,20.0
533,Aruba,2015,Vertebrates,25.0
533,Aruba,2019,Vertebrates,33.0
533,Aruba,2020,Vertebrates,37.0
533,Aruba,2021,Vertebrates,53.0
533,Aruba,2022,Vertebrates,55.0
533,Aruba,2004,Invertebrates,1.0
533,Aruba,2010,Invertebrates,1.0
533,Aruba,2015,Invertebrates,2.0
533,Aruba,2019,Invertebrates,2.0
533,Aruba,2020,Invertebrates,2.0
533,Aruba,2021,Invertebrates,2.0
533,Aruba,2022,Invertebrates,2.0
533,Aruba,2004,Plants,0.0
533,Aruba,2010,Plants,1.0
533,Aruba,2015,Plants,2.0
533,Aruba,2019,Plants,3.0
533,Aruba,2020,Plants,5.0
533,Aruba,2021,Plants,5.0
533,Aruba,2022,Plants,5.0
533,Aruba,2004,Total,18.0
533,Aruba,2010,Total,22.0
533,Aruba,2015,Total,29.0
533,Aruba,2019,Total,38.0
533,Aruba,2020,Total,44.0
533,Aruba,2021,Total,60.0
533,Aruba,2022,Total,62.0
36,Australia,2004,Vertebrates,282.0
36,Australia,2010,Vertebrates,297.0
36,Australia,2015,Vertebrates,304.0
36,Australia,2019,Vertebrates,363.0
36,Australia,2020,Vertebrates,433.0
36,Australia,2021,Vertebrates,457.0
36,Australia,2022,Vertebrates,457.0
36,Australia,2004,Invertebrates,283.0
36,Australia,2010,Invertebrates,489.0
36,Australia,2015,Invertebrates,514.0
36,Australia,2019,Invertebrates,545.0
36,Australia,2020,Invertebrates,548.0
36,Australia,2021,Invertebrates,556.0
36,Australia,2022,Invertebrates,592.0
36,Australia,2004,Plants,56.0
36,Australia,2010,Plants,67.0
36,Australia,2015,Plants,91.0
36,Australia,2019,Plants,108.0
36,Australia,2020,Plants,327.0
36,Australia,2021,Plants,760.0
36,Australia,2022,Plants,779.0
36,Australia,2004,Total,621.0
36,Australia,2010,Total,853.0
36,Australia,2015,Total,909.0
36,Australia,2019,Total,1016.0
36,Australia,2020,Total,1308.0
36,Australia,2021,Total,1773.0
36,Australia,2022,Total,1828.0
40,Austria,2004,Vertebrates,20.0
40,Austria,2010,Vertebrates,23.0
40,Austria,2015,Vertebrates,24.0
40,Austria,2019,Vertebrates,28.0
40,Austria,2020,Vertebrates,28.0
40,Austria,2021,Vertebrates,30.0
40,Austria,2022,Vertebrates,30.0
40,Austria,2004,Invertebrates,44.0
40,Austria,2010,Invertebrates,55.0
40,Austria,2015,Invertebrates,69.0
40,Austria,2019,Invertebrates,74.0
40,Austria,2020,Invertebrates,74.0
40,Austria,2021,Invertebrates,74.0
40,Austria,2022,Invertebrates,106.0
40,Austria,2004,Plants,3.0
40,Austria,2010,Plants,4.0
40,Austria,2015,Plants,13.0
40,Austria,2019,Plants,68.0
40,Austria,2020,Plants,83.0
40,Austria,2021,Plants,84.0
40,Austria,2022,Plants,88.0
40,Austria,2004,Total,67.0
40,Austria,2010,Total,82.0
40,Austria,2015,Total,106.0
40,Austria,2019,Total,170.0
40,Austria,2020,Total,185.0
40,Austria,2021,Total,188.0
40,Austria,2022,Total,224.0
31,Azerbaijan,2004,Vertebrates,32.0
31,Azerbaijan,2010,Vertebrates,41.0
31,Azerbaijan,2015,Vertebrates,43.0
31,Azerbaijan,2019,Vertebrates,49.0
31,Azerbaijan,2020,Vertebrates,49.0
31,Azerbaijan,2021,Vertebrates,47.0
31,Azerbaijan,2022,Vertebrates,47.0
31,Azerbaijan,2004,Invertebrates,6.0
31,Azerbaijan,2010,Invertebrates,4.0
31,Azerbaijan,2015,Invertebrates,7.0
31,Azerbaijan,2019,Invertebrates,7.0
31,Azerbaijan,2020,Invertebrates,7.0
31,Azerbaijan,2021,Invertebrates,7.0
31,Azerbaijan,2022,Invertebrates,7.0
31,Azerbaijan,2004,Plants,0.0
31,Azerbaijan,2010,Plants,0.0
31,Azerbaijan,2015,Plants,42.0
31,Azerbaijan,2019,Plants,45.0
31,Azerbaijan,2020,Plants,46.0
31,Azerbaijan,2021,Plants,46.0
31,Azerbaijan,2022,Plants,47.0
31,Azerbaijan,2004,Total,38.0
31,Azerbaijan,2010,Total,45.0
31,Azerbaijan,2015,Total,92.0
31,Azerbaijan,2019,Total,101.0
31,Azerbaijan,2020,Total,102.0
31,Azerbaijan,2021,Total,100.0
31,Azerbaijan,2022,Total,101.0
44,Bahamas,2004,Vertebrates,36.0
44,Bahamas,2010,Vertebrates,44.0
44,Bahamas,2015,Vertebrates,61.0
44,Bahamas,2019,Vertebrates,71.0
44,Bahamas,2020,Vertebrates,72.0
44,Bahamas,2021,Vertebrates,85.0
44,Bahamas,2022,Vertebrates,87.0
44,Bahamas,2004,Invertebrates,1.0
44,Bahamas,2010,Invertebrates,11.0
44,Bahamas,2015,Invertebrates,12.0
44,Bahamas,2019,Invertebrates,12.0
44,Bahamas,2020,Invertebrates,12.0
44,Bahamas,2021,Invertebrates,13.0
44,Bahamas,2022,Invertebrates,13.0
44,Bahamas,2004,Plants,5.0
44,Bahamas,2010,Plants,7.0
44,Bahamas,2015,Plants,8.0
44,Bahamas,2019,Plants,12.0
44,Bahamas,2020,Plants,12.0
44,Bahamas,2021,Plants,23.0
44,Bahamas,2022,Plants,28.0
44,Bahamas,2004,Total,42.0
44,Bahamas,2010,Total,62.0
44,Bahamas,2015,Total,81.0
44,Bahamas,2019,Total,95.0
44,Bahamas,2020,Total,96.0
44,Bahamas,2021,Total,121.0
44,Bahamas,2022,Total,128.0
48,Bahrain,2004,Vertebrates,18.0
48,Bahrain,2010,Vertebrates,19.0
48,Bahrain,2015,Vertebrates,19.0
48,Bahrain,2019,Vertebrates,33.0
48,Bahrain,2020,Vertebrates,34.0
48,Bahrain,2021,Vertebrates,40.0
48,Bahrain,2022,Vertebrates,50.0
48,Bahrain,2004,Invertebrates,0.0
48,Bahrain,2010,Invertebrates,13.0
48,Bahrain,2015,Invertebrates,13.0
48,Bahrain,2019,Invertebrates,13.0
48,Bahrain,2020,Invertebrates,13.0
48,Bahrain,2021,Invertebrates,13.0
48,Bahrain,2022,Invertebrates,13.0
48,Bahrain,2004,Plants,0.0
48,Bahrain,2010,Plants,0.0
48,Bahrain,2015,Plants,0.0
48,Bahrain,2019,Plants,0.0
48,Bahrain,2020,Plants,0.0
48,Bahrain,2021,Plants,0.0
48,Bahrain,2022,Plants,0.0
48,Bahrain,2004,Total,18.0
48,Bahrain,2010,Total,32.0
48,Bahrain,2015,Total,32.0
48,Bahrain,2019,Total,46.0
48,Bahrain,2020,Total,47.0
48,Bahrain,2021,Total,53.0
48,Bahrain,2022,Total,63.0
50,Bangladesh,2004,Vertebrates,73.0
50,Bangladesh,2010,Vertebrates,104.0
50,Bangladesh,2015,Vertebrates,109.0
50,Bangladesh,2019,Vertebrates,128.0
50,Bangladesh,2020,Vertebrates,133.0
50,Bangladesh,2021,Vertebrates,163.0
50,Bangladesh,2022,Vertebrates,179.0
50,Bangladesh,2004,Invertebrates,0.0
50,Bangladesh,2010,Invertebrates,2.0
50,Bangladesh,2015,Invertebrates,7.0
50,Bangladesh,2019,Invertebrates,7.0
50,Bangladesh,2020,Invertebrates,7.0
50,Bangladesh,2021,Invertebrates,7.0
50,Bangladesh,2022,Invertebrates,7.0
50,Bangladesh,2004,Plants,12.0
50,Bangladesh,2010,Plants,16.0
50,Bangladesh,2015,Plants,21.0
50,Bangladesh,2019,Plants,23.0
50,Bangladesh,2020,Plants,25.0
50,Bangladesh,2021,Plants,31.0
50,Bangladesh,2022,Plants,32.0
50,Bangladesh,2004,Total,85.0
50,Bangladesh,2010,Total,122.0
50,Bangladesh,2015,Total,137.0
50,Bangladesh,2019,Total,158.0
50,Bangladesh,2020,Total,165.0
50,Bangladesh,2021,Total,201.0
50,Bangladesh,2022,Total,218.0
52,Barbados,2004,Vertebrates,18.0
52,Barbados,2010,Vertebrates,24.0
52,Barbados,2015,Vertebrates,37.0
52,Barbados,2019,Vertebrates,44.0
52,Barbados,2020,Vertebrates,48.0
52,Barbados,2021,Vertebrates,59.0
52,Barbados,2022,Vertebrates,61.0
52,Barbados,2004,Invertebrates,0.0
52,Barbados,2010,Invertebrates,10.0
52,Barbados,2015,Invertebrates,11.0
52,Barbados,2019,Invertebrates,11.0
52,Barbados,2020,Invertebrates,11.0
52,Barbados,2021,Invertebrates,11.0
52,Barbados,2022,Invertebrates,11.0
52,Barbados,2004,Plants,2.0
52,Barbados,2010,Plants,2.0
52,Barbados,2015,Plants,3.0
52,Barbados,2019,Plants,3.0
52,Barbados,2020,Plants,3.0
52,Barbados,2021,Plants,4.0
52,Barbados,2022,Plants,4.0
52,Barbados,2004,Total,20.0
52,Barbados,2010,Total,36.0
52,Barbados,2015,Total,51.0
52,Barbados,2019,Total,58.0
52,Barbados,2020,Total,62.0
52,Barbados,2021,Total,74.0
52,Barbados,2022,Total,76.0
112,Belarus,2004,Vertebrates,10.0
112,Belarus,2010,Vertebrates,10.0
112,Belarus,2015,Vertebrates,11.0
112,Belarus,2019,Vertebrates,15.0
112,Belarus,2020,Vertebrates,15.0
112,Belarus,2021,Vertebrates,15.0
112,Belarus,2022,Vertebrates,17.0
112,Belarus,2004,Invertebrates,8.0
112,Belarus,2010,Invertebrates,6.0
112,Belarus,2015,Invertebrates,9.0
112,Belarus,2019,Invertebrates,10.0
112,Belarus,2020,Invertebrates,10.0
112,Belarus,2021,Invertebrates,11.0
112,Belarus,2022,Invertebrates,12.0
112,Belarus,2004,Plants,0.0
112,Belarus,2010,Plants,0.0
112,Belarus,2015,Plants,1.0
112,Belarus,2019,Plants,3.0
112,Belarus,2020,Plants,5.0
112,Belarus,2021,Plants,5.0
112,Belarus,2022,Plants,6.0
112,Belarus,2004,Total,18.0
112,Belarus,2010,Total,16.0
112,Belarus,2015,Total,21.0
112,Belarus,2019,Total,28.0
112,Belarus,2020,Total,30.0
112,Belarus,2021,Total,31.0
112,Belarus,2022,Total,35.0
56,Belgium,2004,Vertebrates,25.0
56,Belgium,2010,Vertebrates,15.0
56,Belgium,2015,Vertebrates,16.0
56,Belgium,2019,Vertebrates,23.0
56,Belgium,2020,Vertebrates,25.0
56,Belgium,2021,Vertebrates,28.0
56,Belgium,2022,Vertebrates,30.0
56,Belgium,2004,Invertebrates,11.0
56,Belgium,2010,Invertebrates,11.0
56,Belgium,2015,Invertebrates,14.0
56,Belgium,2019,Invertebrates,15.0
56,Belgium,2020,Invertebrates,15.0
56,Belgium,2021,Invertebrates,16.0
56,Belgium,2022,Invertebrates,22.0
56,Belgium,2004,Plants,0.0
56,Belgium,2010,Plants,1.0
56,Belgium,2015,Plants,0.0
56,Belgium,2019,Plants,17.0
56,Belgium,2020,Plants,26.0
56,Belgium,2021,Plants,26.0
56,Belgium,2022,Plants,26.0
56,Belgium,2004,Total,36.0
56,Belgium,2010,Total,27.0
56,Belgium,2015,Total,30.0
56,Belgium,2019,Total,55.0
56,Belgium,2020,Total,66.0
56,Belgium,2021,Total,70.0
56,Belgium,2022,Total,78.0
84,Belize,2004,Vertebrates,36.0
84,Belize,2010,Vertebrates,48.0
84,Belize,2015,Vertebrates,70.0
84,Belize,2019,Vertebrates,73.0
84,Belize,2020,Vertebrates,78.0
84,Belize,2021,Vertebrates,93.0
84,Belize,2022,Vertebrates,96.0
84,Belize,2004,Invertebrates,1.0
84,Belize,2010,Invertebrates,12.0
84,Belize,2015,Invertebrates,12.0
84,Belize,2019,Invertebrates,12.0
84,Belize,2020,Invertebrates,12.0
84,Belize,2021,Invertebrates,12.0
84,Belize,2022,Invertebrates,12.0
84,Belize,2004,Plants,30.0
84,Belize,2010,Plants,32.0
84,Belize,2015,Plants,35.0
84,Belize,2019,Plants,46.0
84,Belize,2020,Plants,53.0
84,Belize,2021,Plants,69.0
84,Belize,2022,Plants,76.0
84,Belize,2004,Total,67.0
84,Belize,2010,Total,92.0
84,Belize,2015,Total,117.0
84,Belize,2019,Total,131.0
84,Belize,2020,Total,143.0
84,Belize,2021,Total,174.0
84,Belize,2022,Total,184.0
204,Benin,2004,Vertebrates,17.0
204,Benin,2010,Vertebrates,47.0
204,Benin,2015,Vertebrates,55.0
204,Benin,2019,Vertebrates,77.0
204,Benin,2020,Vertebrates,82.0
204,Benin,2021,Vertebrates,94.0
204,Benin,2022,Vertebrates,112.0
204,Benin,2004,Invertebrates,0.0
204,Benin,2010,Invertebrates,1.0
204,Benin,2015,Invertebrates,3.0
204,Benin,2019,Invertebrates,3.0
204,Benin,2020,Invertebrates,3.0
204,Benin,2021,Invertebrates,4.0
204,Benin,2022,Invertebrates,4.0
204,Benin,2004,Plants,14.0
204,Benin,2010,Plants,14.0
204,Benin,2015,Plants,16.0
204,Benin,2019,Plants,21.0
204,Benin,2020,Plants,21.0
204,Benin,2021,Plants,16.0
204,Benin,2022,Plants,17.0
204,Benin,2004,Total,31.0
204,Benin,2010,Total,62.0
204,Benin,2015,Total,74.0
204,Benin,2019,Total,101.0
204,Benin,2020,Total,106.0
204,Benin,2021,Total,114.0
204,Benin,2022,Total,133.0
60,Bermuda,2004,Vertebrates,18.0
60,Bermuda,2010,Vertebrates,18.0
60,Bermuda,2015,Vertebrates,28.0
60,Bermuda,2019,Vertebrates,39.0
60,Bermuda,2020,Vertebrates,42.0
60,Bermuda,2021,Vertebrates,48.0
60,Bermuda,2022,Vertebrates,46.0
60,Bermuda,2004,Invertebrates,25.0
60,Bermuda,2010,Invertebrates,28.0
60,Bermuda,2015,Invertebrates,28.0
60,Bermuda,2019,Invertebrates,28.0
60,Bermuda,2020,Invertebrates,30.0
60,Bermuda,2021,Invertebrates,30.0
60,Bermuda,2022,Invertebrates,30.0
60,Bermuda,2004,Plants,4.0
60,Bermuda,2010,Plants,4.0
60,Bermuda,2015,Plants,8.0
60,Bermuda,2019,Plants,8.0
60,Bermuda,2020,Plants,8.0
60,Bermuda,2021,Plants,8.0
60,Bermuda,2022,Plants,8.0
60,Bermuda,2004,Total,47.0
60,Bermuda,2010,Total,50.0
60,Bermuda,2015,Total,64.0
60,Bermuda,2019,Total,75.0
60,Bermuda,2020,Total,80.0
60,Bermuda,2021,Total,86.0
60,Bermuda,2022,Total,84.0
64,Bhutan,2004,Vertebrates,40.0
64,Bhutan,2010,Vertebrates,50.0
